sensor,time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
IMU,16:33:35.92,79.93,44.17,-129.98,0.698,0.707,0.126,-0.026,0.038,-1.302
IMU,16:33:35.93,79.93,44.17,-129.98,0.698,0.707,0.126,-0.026,0.038,-1.302
IMU,16:33:35.95,79.93,44.17,-129.98,0.698,0.706,0.126,-0.026,0.038,-1.302
IMU,16:33:36.06,79.93,44.17,-129.98,0.698,0.706,0.126,-0.026,0.038,-1.302
IMU,16:33:36.08,79.93,44.17,-129.98,0.699,0.706,0.126,-0.026,0.038,-1.302
IMU,16:33:36.09,79.93,44.17,-129.98,0.699,0.706,0.126,-0.026,0.038,-1.302
IMU,16:33:36.22,79.93,44.17,-129.98,0.699,0.706,0.126,-0.026,0.038,-1.302
IMU,16:33:36.23,79.93,44.17,-129.98,0.699,0.706,0.127,-0.026,0.038,-1.302
IMU,16:33:36.24,79.93,44.17,-129.98,0.699,0.706,0.127,-0.026,0.038,-1.302
IMU,16:33:36.24,79.93,44.17,-129.98,0.699,0.707,0.127,-0.026,0.038,-1.302
IMU,16:33:36.37,79.93,44.17,-129.98,0.699,0.707,0.127,-0.026,0.038,-1.302
IMU,16:33:36.37,79.93,44.17,-129.98,0.699,0.707,0.127,-0.026,0.038,-1.302
IMU,16:33:36.40,79.93,44.17,-129.98,0.699,0.708,0.127,-0.026,0.038,-1.302
IMU,16:33:36.41,79.93,44.17,-129.98,0.699,0.708,0.127,-0.026,0.038,-1.302
IMU,16:33:36.56,79.93,44.17,-129.98,0.698,0.710,0.126,-0.026,0.038,-1.302
IMU,16:33:36.56,79.93,44.17,-129.98,0.698,0.710,0.126,-0.026,0.038,-1.302
IMU,16:33:36.57,79.93,44.17,-129.98,0.698,0.710,0.126,-0.026,0.038,-1.302
IMU,16:33:36.58,79.93,44.17,-129.98,0.698,0.711,0.126,-0.026,0.038,-1.302
IMU,16:33:36.68,79.93,44.17,-129.98,0.698,0.711,0.126,-0.026,0.038,-1.302
IMU,16:33:36.70,79.93,44.17,-129.98,0.698,0.711,0.126,-0.026,0.038,-1.302
IMU,16:33:36.71,79.93,44.17,-129.98,0.698,0.711,0.126,-0.026,0.038,-1.302
IMU,16:33:36.86,79.93,44.17,-129.98,0.698,0.711,0.126,-0.026,0.038,-1.302
IMU,16:33:36.88,79.93,44.17,-129.98,0.698,0.710,0.125,-0.026,0.038,-1.302
IMU,16:33:36.90,79.93,44.17,-129.98,0.698,0.710,0.125,-0.026,0.038,-1.302
IMU,16:33:37.05,79.93,44.17,-129.98,0.698,0.710,0.125,-0.026,0.038,-1.302
IMU,16:33:37.07,79.93,44.17,-129.98,0.698,0.710,0.125,-0.026,0.038,-1.302
IMU,16:33:37.08,79.93,44.17,-129.98,0.698,0.710,0.125,-0.026,0.038,-1.302
IMU,16:33:37.19,79.93,44.17,-129.98,0.697,0.709,0.125,-0.026,0.038,-1.302
IMU,16:33:37.21,79.93,44.17,-129.98,0.697,0.709,0.125,-0.026,0.038,-1.302
IMU,16:33:37.23,79.93,44.17,-129.98,0.697,0.708,0.125,-0.026,0.038,-1.302
IMU,16:33:37.34,79.93,44.17,-129.98,0.697,0.708,0.125,-0.026,0.038,-1.302
IMU,16:33:37.37,79.93,44.17,-129.98,0.697,0.708,0.124,-0.026,0.038,-1.302
IMU,16:33:37.38,79.93,44.17,-129.98,0.697,0.708,0.124,-0.026,0.038,-1.302
IMU,16:33:37.38,79.93,44.17,-129.98,0.697,0.708,0.124,-0.026,0.038,-1.302
